code,barcode
234157,5011417569344
260216,null
258721,5014581008374
173128,4010142055659
255483,5000328206134
224312,8410076900371
257363,8710847924385
191127,5020379086691
201623,5000328452579
1008817,7790975003931
84329,5000382022411
249065,5900951280436
140425,5055781300011
246995,7613034049193
247599,5011929111482
252201,5010137074886
240116,4025500183790
233747,7321011831012
245964,8710908006418
178265,50412716
105407,5055198003758
146523,5000243875101
106470,7321011805969
180527,7702018844760
190035,5010052107331
168835,3174508005014
252442,5000157143792
1015011,5060414179568
117222,8011780004807
178705,5391115000302
240145,80310839
205821,5011295071298
1011909,5015397412195
259156,5014379005103
254547,8711327370708
135853,5000184631019
692194,5011295119563
249855,7622210610805
210994,5000168129693
191388,5011659719453
249007,5000431027695
105324,5020379022262
250024,5020379152433
85128,5011295123461
100614,5025183037143
205315,5027952012511
193745,3528960007251
977108,50295401
435693,5010424000734
272751,5011295083208
188021,9300770044886
116752,5020379038492
92284,5020379007399
132292,7622210000071
192585,5013803100353
250686,5020379148573
226394,7613035940000
1015435,5060715581978
259787,90446429
135159,7622300743703
224595,5053990138593
220575,5011597092557
258845,5010029226409
129377,5060006360640
256447,5054267009172
598714,5010084109761
128224,5021507163017
244524,5000116124589
238054,5060597160377
234226,5020379137331
728444,24000076759
165393,8002210127302
223040,5010319061000
252488,5010745056298
241484,5010236157497
1015002,5060414179476
111794,5021202550273
205523,5020379106719
226533,5020379130363
189018,5020379084970
112246,8001250180124
192582,5013803100650
1016154,29350271000106
104097,5020379013727
177755,5000232878274
1014535,8005465969116
255259,5020379156653
248214,5000354914041
141649,5020379052160
115231,42211464
1013039,5055198000009
224854,8719075283875
256407,50237098
233554,5060517748494
192444,5010478584129
145819,5055757100423
68444,30050921
1014577,5055198007466
223042,5020261111524
236742,5000116112050
129909,5020379051781
245022,5054267007895
97302,5020379008624
239619,5020379143745
66814,5000168129990
178404,5020347003279
129887,5020379051613
429787,5022498000060
1014293,8436539292715
189394,5060331290254
227577,5060217022221
1016020,9421902090608
234588,4009900525763
96445,5020379008488
325041,4005500075141
248796,5000431026551
262661,5010478411715
18379,5029137000351
1016323,8711177580210
44822,5010478441125
359166,5010605829017
113438,5020379031509
1014411,3250670700848
105883,5011659715844
227126,5020379131650
222976,5000113006499
251184,5011929333457
138076,5020379055772
246013,8719200006300
433660,5000208002627
259923,604565400338
1015339,5060715581015
1012555,8719075282656
238277,3368410004931
1014789,5060414177373
148375,8412289002262
73442,5012216710692
261198,50105083
1011890,5015397202291
163321,5011295250648
249356,7613036881340
258973,5021507001814
228937,5035139218212
226973,7613036129220
227212,721107405160
226127,5020379130882
1015998,5016325849977
128222,5021507163017
189805,5033022002269
1012527,5020261000491
1010608,3258060111014
1011875,8718226492975
128212,5021507162911
184852,5020379082938
126705,5020379052443
422477,5000354900938
129987,5020379051033
192827,5036644004796
1013045,8099999000469
233586,5060517748609
233595,5060517748630
123868,5000246726424
1016262,3660407046765
979344,5000232828743
237197,5051594006829
1014631,5055198002560
186962,4009900489997
227125,5060077787278
173165,5060255920015
89518,5020379005012
245337,5020379149303
226606,5000168201238
122684,5020379041843
834499,5000232414809
225943,87108675
244733,5000237130421
191476,5000116109708
221198,5010035565967
384628,5000111014533
127235,8906010841485
233194,5017353504760
510740,5000373705910
110289,5000161004232
246126,5060042640744
255609,7622201129323
205212,3159560700107
140171,50457441
258474,8001090705723
1014335,5015397221865
223327,5099556021503
239979,5022313121338
184951,5020379078344
1014341,9421901182083
123892,5011157670119
135829,5020379056267
1012605,5020261266156
222003,8714100371169
17934,5010026505071
1012007,602464970914
129639,5011295078037
238693,7613036193047
1014783,5060414177311
177241,40111377
232182,7622210987938
134118,5000166144599
256816,5000168219707
106512,7321011724185
155138,5018095189390
148125,5000347062933
181389,5020379080491
189028,5020379082075
74832,5016316016012
233617,4060800174642
228348,4015400763161
227436,70177176891
878546,5010137012505
198014,5021961176790
200047,50157495
221753,5020379122276
231484,5021006008314
254638,8000920461235
176692,5020379075350
122272,5020379040556
190993,5020379088275
335208,5000128003940
224416,5020379129589
201164,5020379096812
127208,8906010841454
256405,50237043
654335,5011295099827
193603,5000159314572
162474,5020379070713
236282,5019503025842
195403,8420063016381
194049,5060331290407
251836,5020379154505
258093,5010052112953
162565,5020379070317
1014197,9340452001134
237257,5012035958176
196349,7622210431394
250834,5059001001313
191453,5020379084000
192579,5013803100452
86988,5000166052115
1011954,5015397201577
191566,5028403155146
234094,5060078185059
237174,8719214528515
146667,5031838051327
168769,5020379075503
120919,5020379032728
716160,87666052307
187024,40406602
1012599,5020261625816
309851,5010123722708
134052,5000166076661
194013,5000232881960
193707,3528960007237
222438,5020379122696
244656,5020379146364
494575,5011295080115
115183,5022235003057
192923,5000295148406
73058,5011417544129
1012439,5020261111654
97222,5019029341167
355149,5000128495011
264811,8410031136012
182685,5018811000022
212706,721107404484
218051,8410100079936
77992,5024448527887
195224,5020379089043
228025,5708776000198
216013,5000225054647
198657,8717624241970
797027,3057640100673
188514,5017840006005
222454,5020379124034
105412,5050529008853
1013136,5055198001570
1012587,8719075284148
188956,null
148158,5020379067164
971160,5740900805002
249752,4005097401248
232403,5060544260556
224338,3057640319648
229888,5020379129701
255776,5000112575071
1013350,5060414174402
1014247,5019890061201
252975,5000204133899
180485,5010026515346
1016364,8711177600215
1012535,5055198027839
246515,5011929137819
259042,8005121000085
252890,5010652653412
248743,5000431027169
259012,5018970094740
237682,5900951274299
89017,5015091590212
237517,5000168208855
101533,5010186019234
60182,3011360014627
252319,5020379154864
88889,5011659705234
253438,5413408111615
145747,5055757100584
905820,4011100038653
14433,5010067340358
236699,5014234087237
217694,5000168197296
870188,5010933011238
242876,5020379144827
92480,5021006029098
