catCode,catName,subCatCode,subCatName,url
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=847840&settype=03&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=129642&settype=03&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=70991&settype=03&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=233779&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=98617&categoryName=307951&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=234664&categoryName=307951&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=226689&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=246753&categoryName=307951&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=134907&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,https://www.booker.co.uk/catalog/productinformation.aspx?code=247149&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
