code,img_small_url,name,por,rrp,rt_qty,storage_type,sub_cat_code,vat,ws_qty,wsp_exl_vat
612531,https://www.booker.co.uk/bbimages/1/ddb56fbc-5efc-4972-bff1-30a99bcfe381.jpg,Chef's Larder 30 Demi Baguettes,,,30pk,Frozen,CS13_200440,0,,7.89
176690,https://www.booker.co.uk/bbimages/1/63e6c8b9-6136-47b0-b5db-c2b7b0ba2e93.jpg,Chef's Larder 30 Demi Baguettes,,,30s,Frozen,CS13_200440,0,,8.49
176692,https://www.booker.co.uk/bbimages/1/8169bf95-6959-4d5a-b9af-f82c16484246.jpg,Chef's Larder 30 Panini,,,30s,Frozen,CS13_200440,0,,10.39
77308,https://www.booker.co.uk/bbimages/1/6aa34840-a029-4a00-910d-ae50d5b13471.jpg,Chef's Larder 32 Teacakes,,,32s,Frozen,CS13_200440,0,,11.99
875492,https://www.booker.co.uk/bbimages/1/29219aa3-2178-468d-8525-d1f819b9e581.jpg,Chef's Larder 40 (average) Sausage Rolls 1.8kg,,,40s,Frozen,CS13_200440,0,6,22.09
875484,https://www.booker.co.uk/bbimages/1/29219aa3-2178-468d-8525-d1f819b9e581.jpg,Chef's Larder 40 (average) Sausage Rolls 1.8kg,,,40s,Frozen,CS13_200440,0,,3.69
197061,https://www.booker.co.uk/bbimages/1/f36a9f17-bbb7-4b67-8a4d-831ab6244cb7.jpg,Chef's Larder 48 Hot Dog Rolls,,,48s,Frozen,CS13_200440,0,,5.79
385161,https://www.booker.co.uk/bbimages/1/1d63d25b-7feb-406f-aef7-9079f4a22e54.jpg,Chef's Larder 48 Jumbo Hot Dog Rolls,,,48pk,Frozen,CS13_200440,0,,9.19
384370,https://www.booker.co.uk/bbimages/1/b585b1ba-3c86-4994-aac4-7ebd324b84d9.jpg,Chef's Larder 48 Large Seeded Burger Buns,,,48pk,Frozen,CS13_200440,0,,8.39
243596,https://www.booker.co.uk/bbimages/1/2dd14e97-6f74-4b1f-a0aa-bb1ea20cc482.jpg,Chef's Larder 60 Pizza Dough Pucks,,,60x185g,Frozen,CS13_200440,0,,14.19
147703,https://www.booker.co.uk/bbimages/1/7aca1ee8-e53b-4009-a052-e6de9dcbf88a.jpg,Chef's Larder 72 Garlic Bread Slices,,,72s,Frozen,CS13_200440,0,,7.29
63074,https://www.booker.co.uk/bbimages/1/080d28a7-d190-4c13-a54e-6baba14c35a9.jpg,Actimel Strawberry Yogurt Drink 8 x 100g (800g),29.2,3.29,8x100g,Chilled,CS13_200430,0,3,6.99
63075,https://www.booker.co.uk/bbimages/1/080d28a7-d190-4c13-a54e-6baba14c35a9.jpg,Actimel Strawberry Yogurt Drink 8 x 100g (800g),27.4,3.29,8x100g,Chilled,CS13_200430,0,,2.39
238334,https://www.booker.co.uk/bbimages/1/4ed27624-d502-4c3c-8dc3-c5c6dc613b38.jpg,Chef's Larder Cheese & Onion Quiche 1.27kg,,,1.27kg,Frozen,CS13_200440,0,10,48.89
238335,https://www.booker.co.uk/bbimages/1/4ed27624-d502-4c3c-8dc3-c5c6dc613b38.jpg,Chef's Larder Cheese & Onion Quiche 1.27kg,,,1.27kg,Frozen,CS13_200440,0,,4.89
238336,https://www.booker.co.uk/bbimages/1/6e965114-69f4-4854-b66c-8cfc65d5d66a.jpg,Chef's Larder Mediterranean Vegetable Quiche 1.27kg,,,1.27kg,Frozen,CS13_200440,0,10,48.89
238338,https://www.booker.co.uk/bbimages/1/6e965114-69f4-4854-b66c-8cfc65d5d66a.jpg,Chef's Larder Mediterranean Vegetable Quiche 1.27kg,,,1.27kg,Frozen,CS13_200440,0,,4.89
134792,https://www.booker.co.uk/bbimages/1/bdf514d1-730b-4943-91fa-9ebf666b4c69.jpg,Chef's Larder Premium 48 Gourmet Burger Buns,,,48s,Frozen,CS13_200440,0,,11.59
238339,https://www.booker.co.uk/bbimages/1/f4426fec-854d-478c-91dd-b1bfe5c93a44.jpg,Chef's Larder Quiche Lorraine 1.27kg,,,1.27kg,Frozen,CS13_200440,0,10,48.89
238362,https://www.booker.co.uk/bbimages/1/f4426fec-854d-478c-91dd-b1bfe5c93a44.jpg,Chef's Larder Quiche Lorraine 1.27kg,,,1.27kg,Frozen,CS13_200440,0,,4.89
138937,https://www.booker.co.uk/bbimages/1/202d156b-7c79-4ff5-9c2e-f16f665ddb43.jpg,Frank Dale 36 Mini Quiche Selection Canapés 756g,,,36s,Frozen,CS13_200440,0,24,191.75
138938,https://www.booker.co.uk/bbimages/1/202d156b-7c79-4ff5-9c2e-f16f665ddb43.jpg,Frank Dale 36 Mini Quiche Selection Canapés 756g,,,36s,Frozen,CS13_200440,0,,7.99
94445,https://dcveehzef7grj.cloudfront.net/img/smb/no-image-250.png,GBPC Steak & Kidney Puddings,,,6x370g,Frozen,CS13_200440,0,4,51.95
94446,https://dcveehzef7grj.cloudfront.net/img/smb/no-image-250.png,GBPC Steak & Kidney Puddings,,,6x370g,Frozen,CS13_200440,0,,12.99
455630,https://www.booker.co.uk/bbimages/1/981ce928-9e41-4295-a6e3-ec9a3be2a9f6.jpg,Jus-Rol 7 Ready Rolled Filo Pastry Sheets 270g,41.8,2.29,270g,Frozen,CS13_200440,0,12,16
455620,https://www.booker.co.uk/bbimages/1/981ce928-9e41-4295-a6e3-ec9a3be2a9f6.jpg,Jus-Rol 7 Ready Rolled Filo Pastry Sheets 270g,39.3,2.29,270g,Frozen,CS13_200440,0,,1.39
112425,https://www.booker.co.uk/bbimages/1/2e848d22-212f-4c72-8380-0b7ca05a064a.jpg,Jus-Rol Party Size Vol Au Vent Pastry x60 625g,,,60s,Frozen,CS13_200440,0,12,43.05
