retailSize,wsQuantity,shelfCode,imgUrlSmall,imgUrlBig,catCode,catName,subCatCode,subCatName,name,VAT,Size,WSP inc VAT,WSP,Code,Alcohol by Volume,RRP,POR,Alcohol Units,Unit Description,url
330ml,24,307954,https://www.booker.co.uk/bbimages/1/e2607216-48a1-4866-beb9-7762845cbc6e.jpg,https://www.booker.co.uk/bbimages/1/3b7fefaf-7aeb-4fa0-948c-cebff392f440.jpg,CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,Peroni Nastro Azzurro 24 x 330ml,20,24 x 330ml,25.19,20.99,606053,5.1,1.69,37.9,,,https://www.booker.co.uk/catalog/productinformation.aspx?code=606053&settype=23&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
330ml,24,200001,https://www.booker.co.uk/bbimages/1/9690ecfa-56a5-441e-b903-c19d76f6f719.jpg,https://www.booker.co.uk/bbimages/1/5df5f5c6-26d7-41ac-b8a4-d616d00e4d6d.jpg,CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,Desperados Tequila Lager Beer 330ml Bottle,20,24 x 330ml,28.79,23.99,75273,5.9,1.99,39.7,1.95,,https://www.booker.co.uk/catalog/productinformation.aspx?code=75273&settype=13&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
330ml,24,307954,https://www.booker.co.uk/bbimages/1/a709c748-8db2-4884-b673-b50ab4e5af12.jpg,https://www.booker.co.uk/bbimages/1/a3c01ebc-32b9-4517-8afa-ff341778c506.jpg,CS13_100001,"Beer, Cider and Alcoholic RTDs",CS13_200001,Beer,Budweiser Lager Beer Bottle 330ml,20,24 x 330ml,19.79,16.49,234022,4.5,1.49,44.7,1.5,,https://www.booker.co.uk/catalog/productinformation.aspx?code=234022&settype=13&categoryName=307954&CSUrl=https%3a%2f%2fwww.booker.co.uk%2fcatalog%2fproducts.aspx%3fcategoryName%3dCS13_200001
