additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_id,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_id,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,163581,,,,,,/bbimages/1/38ed5b4f-6109-4d19-a228-fc727fe327d4.jpg,,,Heineken Lager Beer 650ml,,,,,,,,29.4%,,,,£2.59,650ml,,,,Ambient,,,,20%,,,"Case of,12",£18.29,
,,,,,,,,,,143683,,,,,,/bbimages/1/05b05b24-9c5d-41c7-bab1-01b7306bfc16.jpg,,,Heineken Premium Lager Beer 12 x 330ml,,,,,,,,15.0%,,,,£11.99,12x330m,,,,Ambient,,,,20%,,,"Case of,2",£16.99,
,,,,,,,,,,34634,,,,,,/bbimages/1/f50576ce-e3bf-45ae-92b8-f0ed091896db.jpg,,,Heineken Premium Lager Beer 4 x 330ml,,,,,,,,36.6%,,,,£5.99,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£18.99,
,,,,,,,,,,246308,,,,,,/bbimages/1/d3f47003-eda5-41ad-bf46-e53162619af3.jpg,,,Heineken Premium Lager Beer 4 x 568ml Cans,,,,,,,,23.1%,,,,£6.50,4x568ml,,,,Ambient,,,,20%,,,"Case of,6",£24.99,
,,,,,,,,,,227506,,,,,,/bbimages/1/49b36e57-1de3-4d5b-a782-ad91dbc331bc.jpg,,,Hop House 13 Lager 12 x 650ml Bottle,,,,,,,,22.8%,,,,£2.59,650ml,,,,Ambient,,,,20%,,,"Case of,12",£19.99,
,,,,,,,,,,262593,,,,,,/bbimages/1/49b36e57-1de3-4d5b-a782-ad91dbc331bc.jpg,,,Hop House 13 Lager 12 x 650ml Bottle,,,,,,,,36.3%,,,,£2.59,650ml,,,,Ambient,,,,20%,,,"Case of,12",£16.49,
,,,,,,,,,,889253,,,,,,/bbimages/1/6e49e6dc-5dec-4ffe-9692-3ed7c73f0ec9.jpg,,,Kingfisher Premium Lager Beer 650ml,,,,,,,,32.0%,,,,£1.69,330ml,,,,Ambient,,,,20%,,,"Case of,24",£22.99,
,,,,,,,,,,212206,,,,,,/bbimages/1/4c39650c-66e7-4931-a263-be525a6b2a96.jpg,,,Kronenbourg 1664 Lager Beer 10 x 440ml Cans,,,,,,,,19.2%,,,,£12.99,10x440m,,,,Ambient,,,,20%,,,"Case of,2",£17.49,
,,,,,,,,,,163994,,,,,,/bbimages/1/6860d3cf-1765-4f70-948b-2869243e3345.jpg,,,Kronenbourg 1664 Lager Beer 12 x 275ml Bottles,,,,,,,,18.5%,,,,£12.79,12x275m,,,,Ambient,,,,20%,,,,£8.69,
,,,,,,,,,,142186,,,,,,/bbimages/1/2b80240e-90a1-442a-a9ad-d9ad47704509.jpg,,,Kronenbourg 1664 Lager Beer 15 x 275ml Bottles,,,,,,,,44.7%,,,,£12.99,15x275m,,,,Ambient,,,,20%,,,,£5.99,
,,,,,,,,,,244332,,,,,,/bbimages/1/c63f6bf9-b589-4198-9420-d29ad627acef.jpg,,,Kronenbourg 1664 Lager Beer 4 x 568ml Can,,,,,,,,20.0%,,,,£6.25,4x568ml,,,,Ambient,,,,20%,,,"Case of,6",£24.99,
,,,,,,,,,,104055,,,,,,/bbimages/1/47fc0544-4ba4-4f9d-a5d7-46778ed28dce.jpg,,,Kronenbourg 1664 Lager Beer 660ml Bottle,,,,,,,,28.1%,,,,£2.89,660ml,,,,Ambient,,,,20%,,,"Case of,12",£20.79,
,,,,,,,,,,244568,,,,,,/graphics/ni/ni90.jpg,,,Kronenbourg 1664 Premium Beer 4 x 440ml,,,,,,,,22.0%,,,,£5.00,4x440ml,,,,Ambient,,,,20%,,,"Case of,6",£19.49,
,,,,,,,,,,236886,,,,,,/bbimages/1/6d0cccd2-6711-4783-a2a2-e24dafc68021.jpg,,,Lech 20 x 500ml,,,,,,,,29.2%,,,,£1.99,500ml,,,,Ambient,,,,20%,,,"Case of,20",£23.49,
,,,,,,,,,,236887,,,,,,/bbimages/1/20e0f262-c476-4fd2-9bb6-36ba04099476.jpg,,,Lech 4 x 500ml,,,,,,,,34.2%,,,,£6.99,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£22.99,
,,,,,,,,,,256684,,,,,,/bbimages/1/928214fd-f555-4444-8b39-4ecbd7364f3a.jpg,,,Leffe Blonde Abbey Beer Bottle 330ml,,,,,,,,36.6%,,,,£2.09,330ml,,,,Ambient,,,,20%,,,"Case of,12",£13.25,
,,,,,,,,,,248035,,,,,,/bbimages/1/6eca2d76-154b-4bd6-ab2a-a06c8f05f202.jpg,,,Lynx Premium Lager 4 x 500ml,,,,,,,,25.2%,,,,£4.49,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£16.79,
,,,,,,,,,,248036,,,,,,/bbimages/1/0e5fb095-e44a-40b1-9a5e-565d0845416e.jpg,,,Lynx Premium Lager Pilsner 4 x 500ml,,,,,,,,34.6%,,,,£2.29,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£7.49,
,,,,,,,,,,248063,,,,,,/bbimages/1/6d6d08ce-2979-4317-b705-16ac43d5d4cc.jpg,,,Lynx Premium Lager Super 500ml,,,,,,,,36.5%,,,,£1.89,500ml,,,,Ambient,,,,20%,,,"Case of,24",£23.99,
,,,,,,,,,,75806,,,,,,/bbimages/1/519c4c57-5a99-4a49-ae7a-141fdfe482ca.jpg,,,Mythos Hellenic Lager Beer 330ml,,,,,,,,29.7%,,,,£1.35,330ml,,,,Ambient,,,,20%,,,"Case of,24",£18.99,
,,,,,,,,,,162723,,,,,,/bbimages/1/17460125-c323-4032-9b92-801f15a66fa4.jpg,,,Mythos Premium Quality Hellenic Beer 500ml,,,,,,,,27.2%,,,,£1.99,500ml,,,,Ambient,,,,20%,,,"Case of,12",£14.49,
,,,,,,,,,,246229,,,,,,/bbimages/1/86358007-ed44-489d-9b86-ec922052907c.jpg,,,Oranjeboom Premium Lager Beer Original 4 x 500ml,,,,,,,,34.0%,,,,£5.75,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£18.99,
,,,,,,,,,,251963,,,,,,/bbimages/1/4289afcd-e10e-48ff-ba21-31d957623a9f.jpg,,,Peroni Libera 12 x 330ml,,,,,,,,46.4%,,,,£17.89,12x330m,,,,Ambient,,,,20%,,,,£7.99,
,,,,,,,,,,112355,,,,,,/bbimages/1/1a345b21-8341-46b4-8eb4-723ff5030417.jpg,,,Peroni Nastro Azzurro 12 x 330ml,,,,,,,,18.0%,,,,£17.99,12x330m,,,,Ambient,,,,20%,,,,£12.29,
,,,,,,,,,,194577,,,,,,/bbimages/1/b5dbd655-7f4a-41b0-b93d-01c598c13c6f.jpg,,,Peroni Nastro Azzurro 12 x 620ml,,,,,,,,31.6%,,,,£3.29,620ml,,,,Ambient,,,,20%,,,"Case of,12",£22.49,
,,,,,,,,,,210966,,,,,,/bbimages/1/c6f5b90c-142b-46e8-a2c3-113d7ef366c8.jpg,,,Peroni Nastro Azzurro 4 x 330ml,,,,,,,,29.8%,,,,£6.69,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£23.49,
,,,,,,,,,,244628,,,,,,/bbimages/1/2e1554dc-7141-46b8-b90a-771500ec5ab6.jpg,,,Red Stripe Jamaican Lager Beer 4 x 440ml Can,,,,,,,,21.2%,,,,£5.00,4x440ml,,,,Ambient,,,,20%,,,"Case of,6",£19.69,
,,,,,,,,,,256127,,,,,,/bbimages/1/62ebf2d1-a154-4db8-93e8-a0c1cd2390a0.jpg,,,Red Stripe Jamaican Lager Beer 4 x 568ml Can,,,,,,,,21.6%,,,,£6.50,4x568ml,,,,Ambient,,,,20%,,,"Case of,6",£25.49,
,,,,,,,,,,259679,,,,,,/bbimages/1/f86d80df-41e5-4a9e-9488-a3ebbdeb45e7.jpg,,,Red Stripe Jamaican Lager Beer 6 x 330ml Bottles,,,,,,,,26.1%,,,,£6.49,6x330ml,,,,Ambient,,,,20%,,,"Case of,4",£15.99,
,,,,,,,,,,87242,,,,,,/bbimages/1/67fd0fc5-e45e-495f-a58c-507d34020000.jpg,,,Sagres 24 x 330ml,,,,,,,,31.2%,,,,£1.49,330ml,,,,Ambient,,,,20%,,,"Case of,24",£20.49,
,,,,,,,,,,261513,,,,,,/bbimages/1/eedfccb6-318d-4dee-936b-a1d59d454ec1.jpg,,,San Miguel Gluten Free Lager Beer 4 x 330ml,,,,,,,,20.0%,,,,£6.00,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£23.99,
,,,,,,,,,,237097,,,,,,/bbimages/1/dee44d04-be67-4a4e-8ff6-2c5f3c4bcfe5.jpg,,,San Miguel Premium Lager Beer 10 x 440ml,,,,,,,,15.0%,,,,£11.99,10x440m,,,,Ambient,,,,20%,,,"Case of,2",£16.99,
,,,,,,,,,,19205,,,,,,/bbimages/1/6e338f79-8ea2-4911-a8a7-a3f4d78e6f07.jpg,,,San Miguel Premium Lager Beer 4 x 330ml,,,,,,,,36.8%,,,,£5.69,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£17.99,
,,,,,,,,,,250722,,,,,,/bbimages/1/2b50e6c5-764f-4012-b5cc-4622cd426c96.jpg,,,San Miguel Premium Lager Beer 4 x 500ml,,,,,,,,27.9%,,,,£6.79,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£24.49,
,,,,,,,,,,260185,,,,,,/bbimages/1/7b659333-8713-4e09-abfd-28cecfa5290a.jpg,,,San Miguel Premium Lager Beer 5.4% ABV 8 x 330ml,,,,,,,,51.1%,,,,£8.99,8x330ml,,,,Ambient,,,,20%,,,"Case of,3",£10.99,
,,,,,,,,,,90305,,,,,,/bbimages/1/30f8962a-1746-4c87-a466-ccee2d411ce8.jpg,,,San Miguel Premium Lager Beer 660ml,,,,,,,,32.6%,,,,£2.89,660ml,,,,Ambient,,,,20%,,,"Case of,8",£12.99,
,,,,,,,,,,111513,,,,,,/bbimages/1/58227ade-0157-4a75-b654-b25a77d5c5c9.jpg,,,Singha Thai Premium Lager 630ml,,,,,,,,39.8%,,,,£2.99,630ml,,,,Ambient,,,,20%,,,"Case of,12",£17.99,
,,,,,,,,,,247525,,,,,,/bbimages/1/9f0afed1-dbb2-420b-ba1b-16afa5040d27.jpg,,,Sol Original Lager Beer 12 x 330ml Bottles,,,,,,,,12.8%,,,,£10.99,12x330m,,,,Ambient,,,,20%,,,,£7.99,
,,,,,,,,,,251463,,,,,,/bbimages/1/61386a6c-6128-4cb4-aec9-73b67b2c17c9.jpg,,,Sol Original Lager Beer 330ml Bottle,,,,,,,,41.3%,,,,£1.49,330ml,,,,Ambient,,,,20%,,,"Case of,24",£17.49,
,,,,,,,,,,251472,,,,,,/bbimages/1/914ece6f-b508-45e5-97d0-8e29263a8f54.jpg,,,Sol Original Lager Beer 4 x 330ml Bottles,,,,,,,,39.9%,,,,£5.99,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£17.99,
,,,,,,,,,,261653,,,,,,/bbimages/1/a8644b1e-6c4c-44ab-9468-17606f6912d7.jpg,,,Stella Artois Belgium Premium Lager 4 x 568ml,,,,,,,,21.5%,,,,£6.49,4x568ml,,,,Ambient,,,,20%,,,"Case of,6",£25.49,
,,,,,,,,,,203627,,,,,,/bbimages/1/5d06b9b8-e95e-4230-b90f-cfed88b66f6e.jpg,,,Stella Artois Lager Beer Bottles 12 x 284ml,,,,,,,,12.0%,,,,£11.99,12x284m,,,,Ambient,,,,20%,,,,£8.79,
,,,,,,,,,,129575,,,,,,/bbimages/1/3bc31c6c-632e-4d29-b8d2-851a82c5ebe6.jpg,,,Stella Artois Lager Beer Bottles 12 x 660ml,,,,,,,,31.6%,,,,£2.69,660ml,,,,Ambient,,,,20%,,,"Case of,12",£18.39,
,,,,,,,,,,259067,,,,,,/bbimages/1/e2b3c25f-5ee8-4b99-9423-2b0d5fffde04.jpg,,,Stella Artois Lager Beer Bottles 20 x 284ml,,,,,,,,13.1%,,,,£14.49,20x284m,,,,Ambient,,,,20%,,,,£10.49,
,,,,,,,,,,211479,,,,,,/bbimages/1/1248cb1b-c075-4f58-8c98-31bf6d5066d7.jpg,,,Stella Artois Lager Beer Bottles 6 x 330ml,,,,,,,,35.3%,,,,£6.49,6x330ml,,,,Ambient,,,,20%,,,"Case of,4",£13.99,
,,,,,,,,,,199712,,,,,,/bbimages/1/c9f36894-4a4a-468c-b849-7caa99d1ad0d.jpg,,,Super Bock Premium Lager 4 x 33cl,,,,,,,,27.9%,,,,£4.99,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£17.99,
,,,,,,,,,,187881,,,,,,/bbimages/1/2689475a-ed4c-4874-bd8d-9dd4f794bc27.jpg,,,Tiger Asian Lager Beer 640ml Bottle,,,,,,,,29.4%,,,,£2.59,640ml,,,,Ambient,,,,20%,,,"Case of,12",£18.29,
,,,,,,,,,,90082,,,,,,/graphics/ni/ni90.jpg,,,Tsingtao Beer NRB,,,,,,,,26.0%,,,,£1.25,330ml,,,,Ambient,,,,20%,,,"Case of,24",£18.49,
,,,,,,,,,,236264,,,,,,/bbimages/1/d792c774-36b6-4c77-ba27-ef0378084a1a.jpg,,,Tyskie 4 x 500ml,,,,,,,,34.2%,,,,£6.99,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£22.99,
,,,,,,,,,,236366,,,,,,/bbimages/1/0b02278a-a72e-4670-a926-71fffc058f87.jpg,,,Tyskie 650ml,,,,,,,,29.4%,,,,£2.49,650ml,,,,Ambient,,,,20%,,,"Case of,15",£21.99,
