additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_id,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_id,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,240736,,,,,,/bbimages/1/994a3eac-bf39-41a8-8608-0b19245add00.jpg,,,Peroni Nastro Azzurro Gluten Free 330ml,,,,,,,,33.0%,,,,£1.79,330ml,,,,Ambient,,,,20%,,,"Case of,12",£11.99,
,,,,,,,,,,847840,,,,,,/bbimages/1/dbdfa43d-3b07-4b7a-9441-ac32b41e121f.jpg,,,Singha Thai Premium Lager 330ml,,,,,,,,33.4%,,,,£1.65,330ml,,,,Ambient,,,,20%,,,"Case of,24",£21.99,
,,,,,,,,,,129642,,,,,,/bbimages/1/ce257847-ef35-4333-a7b0-a0c6cdf8f7f2.jpg,,,Stella Artois Lager Beer Bottles 24 x 330ml,,,,,,,,41.3%,,,,£1.49,330ml,,,,Ambient,,,,20%,,,"Case of,24",£17.49,
,,,,,,,,,,70991,,,,,,/bbimages/1/c03e9533-3fd7-4563-9ab6-08e5a23f1a52.jpg,,,Tiger Asian Lager Beer 24 x 330ml Bottles,,,,,,,,32.0%,,,,£1.69,330ml,,,,Ambient,,,,20%,,,"Case of,24",£22.99,
,,,,,,,,,,233779,,,,,,/bbimages/1/9b04c383-abb2-4573-8f7e-ea76960e24b9.jpg,,,Asahi Super Dry 330ml,,,,,,,,29.6%,,,,£1.49,330ml,,,,Ambient,,,,20%,,,"Case of,24",£20.99,
,,,,,,,,,,259156,,,,,,/bbimages/1/28b82846-1f54-4cc4-930f-815f6b7cc723.jpg,,,Budweiser Lager Beer Cans 10 x 440ml,,,,,,,,26.6%,,,,£11.99,10x440m,,,,Ambient,,,,20%,,,,£7.33,
,,,,,,,,,,98617,,,,,,/bbimages/1/ae81d8ca-e6b4-4636-98f2-01dbe7cc4a0f.jpg,,,Carling Original Lager 4 x 500ml,,,,,,,,39.6%,,,,£1.49,500ml,,,,Ambient,,,,20%,,,"Case of,24",£17.99,
,,,,,,,,,,226689,,,,,,/bbimages/1/157b9a91-c705-434a-b8a8-a879d343f50a.jpg,,,Carlsberg Lager Beer 24 x 330ml,,,,,,,,30.4%,,,,£24.99,24x330m,,,,Ambient,,,,20%,,,,£14.49,
,,,,,,,,,,246753,,,,,,/bbimages/1/88fb393f-5e66-4cf2-9e03-4670810af548.jpg,,,Carlsberg Lager Beer 4 x 568ml PMP £5.99,,,,,,,,33.3%,,,,£5.99,4x568ml,,,,Ambient,,,,20%,,,"Case of,6",£19.99,
,,,,,,,,,,134907,,,,,,/bbimages/1/250e9846-61ae-4020-99ec-4be931ef6866.jpg,,,Corona Lager Beer Bottles 4 x 330ml,,,,,,,,36.9%,,,,£6.49,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£20.49,
,,,,,,,,,,247149,,,,,,/bbimages/1/8d0f9142-64ac-45c8-90cd-9a92e3e9d7ba.jpg,,,Holsten Pils 6 x 275ml,,,,,,,,32.2%,,,,£5.75,6x275ml,,,,Ambient,,,,20%,,,"Case of,4",£12.99,
,,,,,,,,,,247172,,,,,,/bbimages/1/420efed8-7174-480e-b6d1-d9b8c916488d.jpg,,,Skol Lager 8 x 500ml,,,,,,,,35.8%,,,,£5.79,8x500ml,,,,Ambient,,,,20%,,,"Case of,3",£9.29,
,,,,,,,,,,259154,,,,,,/bbimages/1/8a6664a7-082a-46c6-999f-1a0faad5e87e.jpg,,,Stella Artois Belgium Premium Lager 10 x 440ml,,,,,,,,26.6%,,,,£11.99,10x440m,,,,Ambient,,,,20%,,,,£7.33,
,,,,,,,,,,225418,,,,,,/bbimages/1/61f9a880-802e-4281-bd63-c67b15ed5c21.jpg,,,Stella Artois Lager Beer 4 x 500ml,,,,,,,,31.0%,,,,£5.79,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£19.99,
,,,,,,,,,,222668,,,,,,/bbimages/1/fe80894f-aae1-4254-b833-f3df4e9d0190.jpg,,,Stella Artois Lager Beer Bottles 4 x 330ml,,,,,,,,36.0%,,,,£5.00,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£15.99,
,,,,,,,,,,129647,,,,,,/bbimages/1/4a84b362-a188-4d63-b250-547cd70d01a7.jpg,,,Stella Artois Lager Beer Cans 4 x 500ml,,,,,,,,43.8%,,,,£1.69,500ml,,,,Ambient,,,,20%,,,"Case of,24",£18.99,
,,,,,,,,,,234686,,,,,,/bbimages/1/70a207aa-ab6b-4deb-8e31-b042c6c9519d.jpg,,,Tuborg Lager 6 x 275ml PMP £5.59,,,,,,,,30.3%,,,,£5.59,6x275ml,,,,Ambient,,,,20%,,,"Case of,4",£12.99,
,,,,,,,,,,247138,,,,,,/bbimages/1/6684b1c4-6fce-445f-a0d1-ae40777b8d3b.jpg,,,Amstel Bier Lager Beer 12 x 300ml Bottles,,,,,,,,16.1%,,,,£10.00,12x300m,,,,Ambient,,,,20%,,,,£6.99,
,,,,,,,,,,211978,,,,,,/bbimages/1/0d754468-d2e6-4c72-a173-196985d03298.jpg,,,Amstel Bier Lager Beer 650ml Bottle,,,,,,,,29.8%,,,,£2.49,650ml,,,,Ambient,,,,20%,,,"Case of,12",£17.49,
