BPLIC,alt,category,info_r1,info_r2,pack,price,promotionText
239506,"Awaiting image,Ambient,Add to List",£16.49,,,"Case of,4",£16.49,
247477,"Birra Moretti Lager Beer 12 x 330ml Bottles,Ambient,Add to List",£9.49,,,,£9.49,
84876,"Birra Moretti Lager Beer 24 x 330ml Bottles,Ambient,Add to List",£20.99,,,"Case of,24",£20.99,
232386,"Birra Moretti Lager Beer 4 x 330ml Bottles,Ambient,Add to List",£22.49,,,"Case of,6",£22.49,
218118,"Birra Moretti Lager Beer 660ml Bottle,Ambient,Add to List",£19.99,,,"Case of,12",£19.99,
260169,"Birra Moretti Premium Lager 6 x 500ml,Ambient,Add to List",£4.99,,,,£4.99,
133277,"Brahma Premium Lager 330ml,Ambient,Add to List",£17.49,,,"Case of,24",£17.49,
251964,"BrewDog Punk AF Alcohol Free IPA 330ml,Ambient,Add to List",£10.99,,,"Case of,12",£10.99,
249374,"Awaiting image,Ambient,Add to List",£15.49,,,"Case of,6",£15.49,
193682,"Budweiser Budvar Original Czech Lager 10 x 500ml,Ambient,Add to List",£12.49,,,"Case of,10",£12.49,
233157,"Budweiser King of Beers Lager Beer 12 x 300ml,Ambient,Add to List",£8.79,,,,£8.79,
233096,"Budweiser Lager Beer Bottle 660ml,Ambient,Add to List",£18.19,,,"Case of,12",£18.19,
235376,"Budweiser Lager Beer Bottles 20 x 300ml,Ambient,Add to List",£10.99,,,,£10.99,
233154,"Budweiser Lager Beer Cans 4 x 500ml,Ambient,Add to List",£22.49,,,"Case of,6",£22.49,
233112,"Budweiser Lager Beer Cans 4 x 568ml,Ambient,Add to List",£24.49,,,"Case of,6",£24.49,
233192,"Budweiser Lager Beer Cans 4 x 568ml,Ambient,Add to List",£24.49,,,"Case of,24",£24.49,
248226,"Carling Original Lager 10 x 440ml,Ambient,Add to List",£6.99,,,,£6.99,
237228,"Carling Original Lager 18 x 440ml,Ambient,Add to List",£11.99,,,,£11.99,
261557,"Carling Original Lager 4 x 500ml,Ambient,Add to List",£19.39,,,"Case of,6",£19.39,
168782,"Carling Original Lager 4 x 568ml,Ambient,Add to List",£20.89,,,"Case of,6",£20.89,
234663,"Carlsberg Export Lager Beer 4 x 500ml PMP £5.89,Ambient,Add to List",£22.49,,,"Case of,6",£22.49,
245986,"Carlsberg Lager Beer 10 x 330ml PMP £8.79,Ambient,Add to List",£11.59,,,"Case of,2",£11.59,
252324,"Carlsberg Lager Beer 10 x 440ml,Ambient,Add to List",£14.79,,,"Case of,2",£14.79,
232763,"Carlsberg Lager Beer 18 x 440ml,Ambient,Add to List",£10.49,,,,£10.49,
245982,"Carlsberg Special Brew Beer 4 x 500ml,Ambient,Add to List",£34.99,,,"Case of,24",£34.99,
245734,"Cobra 4.5% NRB,Ambient,Add to List",£19.49,,,"Case of,12",£19.49,
135560,"Coors Light Lager 4 x 500ml,Ambient,Add to List",£19.49,,,"Case of,24",£19.49,
246598,"Coors Light Lager 4 x 568ml,Ambient,Add to List",£22.29,,,"Case of,6",£22.29,
