barcode,code,sub_cat_code
5035766062356,231147,
5035766061199,277073,
8008440146038,285089,
8008440146113,286668,
8008440146090,286656,
5023625004708,56033,
42071945,116911,
5014379010879,258676,
5014379010954,258678,
5035766064442,276952,
5035766062578,247477,
5035766062547,232387,
5035766062530,232386,
5035766062523,236326,
5056025421400,251964,
5010153871995,285792,
5014379026221,288964,
5014379002850,222878,
5014379026252,288965,
5014379019056,275182,
5014379004786,235376,
5014379022605,281623,
5014379004823,233096,
5014379004809,234022,
8594403430127,974485,
8594403110111,193682,
8594403704990,247195,
5014379004687,233157,
5014379026757,288576,
5014379024661,285647,
5014379005103,259156,
5014379026870,288524,
5010038441893,248226,
5010038489567,286938,
5010038489604,286952,
5010153872435,287278,
5010153872428,287282,
5010153871216,252324,
5016325849144,232763,
5010153872459,287394,
5010153870899,245982,
5352201000903,1020627,
5010038462393,245734,
5010038443330,221238,
5010038442807,163913,
5010038489840,289503,
5010038483688,275278,
5010038470374,283045,
5010038489901,289527,
5010038489659,287942,
5014379023503,285495,
5014379012569,272482,
5410228292081,274833,
7501064193040,87646,
7501064193101,134907,
7501064193064,135253,
5014379014457,266942,
5035766065425,288328,
5035766065401,289077,
5035766065456,288329,
5035766064183,265653,
5035766064329,265956,
3155930001300,121844,
3155930006015,75273,
3155930005568,177728,
8690520510190,162663,
8690520035587,69669,
4002103248118,195006,
8410793022837,135232,
8410793282965,234339,
5035766185253,285204,
5035766185291,285206,
5035766185376,284868,
5035766185352,284812,
5030548000434,1020686,
5030548000472,1020683,
5000213024959,263866,
8712000050115,227837,
8712000053031,252278,
8712000050108,1020680,
5035766063919,257538,
5035766065036,285079,
8712000022662,163581,
5035766063292,249725,
5035766064985,285108,
8712000057305,286437,
5010153872145,283974,
5010153872442,287238,
5056225900774,286692,
4008287754148,1020696,
5035766381402,276874,
5035766382379,285637,
5035766382409,285638,
5901359074634,236887,
5014379023190,285505,
5014379023114,285789,
5056025453326,285214,
5056025453289,285223,
5020379147996,248035,
5020379171601,281597,
5010038483992,277417,
5010038485057,280992,
5010038484098,275787,
5010038484067,279544,
5201309638436,279327,
5201309638313,279326,
5010549016559,286318,
8720039761919,276809,
8720039762596,288323,
8008440149312,285044,
8008440549136,285043,
8008440114044,276895,
8008440552006,285046,
8008440112026,285045,
8008440210456,279322,
8008440512444,278717,
8008440212450,279523,
8008440212481,279288,
8008440514011,276878,
8712000052058,259679,
5035766065524,289198,
5035766065012,285677,
5601146000418,165570,
5016325849953,270237,
5010153871322,201543,
5016325802323,227424,
5016325849342,237097,
5010153771677,19205,
5016325849304,250722,
5010153773671,90305,
04901880903343,1019834,
8850999112107,847840,
8850999111001,111513,
5010153872213,283972,
5010153856206,201345,
5035766063445,247525,
5010038453964,287473,
5010038453933,216015,
5410228272489,261398,
5014379012859,264188,
5410228316275,288523,
5014379012958,263872,
5014379013023,264107,
5014379012866,263576,
5410228316268,288525,
5014379021806,283363,
5014379017120,281876,
5020628001970,266004,
5035766060413,70991,
5035766060468,187881,
6901035605403,90082,
5010153872152,283963,
5901359074573,236264,
5901359074481,236366,
5901359074191,253499,
5035766062356,231147,
5035766061199,277073,
8008440146038,285089,
8008440146113,286668,
8008440146090,286656,
5023625004708,56033,
42071945,116911,
5014379010879,258676,
5014379010954,258678,
5035766064442,276952,
5035766062578,247477,
5035766062547,232387,
5035766062530,232386,
5035766062523,236326,
5056025421400,251964,
5010153871995,285792,
5014379026221,288964,
5014379002850,222878,
5014379026252,288965,
5014379019056,275182,
5014379004786,235376,
5014379022605,281623,
5014379004823,233096,
5014379004809,234022,
8594403430127,974485,
8594403110111,193682,
8594403704990,247195,
5014379004687,233157,
5014379026757,288576,
5014379024661,285647,
5014379005103,259156,
5014379026870,288524,
5010038441893,248226,
5010038489567,286938,
5010038489604,286952,
5010153872435,287278,
5010153872428,287282,
5010153871216,252324,
5016325849144,232763,
5010153872459,287394,
5010153870899,245982,
5352201000903,1020627,
5010038462393,245734,
5010038443330,221238,
5010038442807,163913,
5010038489840,289503,
5010038483688,275278,
5010038470374,283045,
5010038489901,289527,
5010038489659,287942,
5014379023503,285495,
5014379012569,272482,
5410228292081,274833,
7501064193040,87646,
7501064193101,134907,
7501064193064,135253,
5014379014457,266942,
5035766065425,288328,
5035766065401,289077,
5035766065456,288329,
5035766064183,265653,
5035766064329,265956,
3155930001300,121844,
3155930006015,75273,
3155930005568,177728,
8690520510190,162663,
8690520035587,69669,
4002103248118,195006,
8410793022837,135232,
8410793282965,234339,
5035766185253,285204,
5035766185291,285206,
5035766185376,284868,
5035766185352,284812,
5030548000434,1020686,
5030548000472,1020683,
5000213024959,263866,
8712000050115,227837,
8712000053031,252278,
8712000050108,1020680,
5035766063919,257538,
5035766065036,285079,
8712000022662,163581,
5035766063292,249725,
5035766064985,285108,
8712000057305,286437,
5010153872145,283974,
5010153872442,287238,
5056225900774,286692,
4008287754148,1020696,
5035766381402,276874,
5035766382379,285637,
5035766382409,285638,
5901359074634,236887,
5014379023190,285505,
5014379023114,285789,
5056025453326,285214,
5056025453289,285223,
5020379147996,248035,
5020379171601,281597,
5010038483992,277417,
5010038485057,280992,
5010038484098,275787,
5010038484067,279544,
5201309638436,279327,
5201309638313,279326,
5010549016559,286318,
8720039761919,276809,
8720039762596,288323,
8008440149312,285044,
8008440549136,285043,
8008440114044,276895,
8008440552006,285046,
8008440112026,285045,
8008440210456,279322,
8008440512444,278717,
8008440212450,279523,
8008440212481,279288,
8008440514011,276878,
8712000052058,259679,
5035766065524,289198,
5035766065012,285677,
5601146000418,165570,
5016325849953,270237,
5010153871322,201543,
5016325802323,227424,
5016325849342,237097,
5010153771677,19205,
5016325849304,250722,
5010153773671,90305,
04901880903343,1019834,
8850999112107,847840,
8850999111001,111513,
5010153872213,283972,
5010153856206,201345,
5035766063445,247525,
5010038453964,287473,
5010038453933,216015,
5410228272489,261398,
5014379012859,264188,
5410228316275,288523,
5014379012958,263872,
5014379013023,264107,
5014379012866,263576,
5410228316268,288525,
5014379021806,283363,
5014379017120,281876,
5020628001970,266004,
5035766060413,70991,
5035766060468,187881,
6901035605403,90082,
5010153872152,283963,
5901359074573,236264,
5901359074481,236366,
5901359074191,253499,
5016878010435,142279,
5010548002720,102783,
5010548005011,238658,
5010548002911,254123,
5010548001549,88288,
35060386621035,1019791,
15060386623509,1019790,
45060386621032,1019789,
15060386623530,1019908,
25060386623094,1019909,
5012686001214,285589,
5056025471405,285169,
5024583000016,100046,
5010017081799,270737,
05056025465633,1019928,
5060154912234,1011159,
05056025426115,1019831,
05060154918380,1011160,
05056025456976,1019835,
5056025434516,265935,
05056025455924,1019833,
05056025409385,1011841,
05056025455627,1020549,
5056025421363,1014686,
05056025453845,1019839,
5056025440494,261634,
5056025440487,261632,
05056025461475,1019927,
05056025440098,1019836,
5060228270628,267043,
5060228270932,265954,
5011166018896,100125,
5060435602595,1019998,
5412186000661,1020695,
05034743300757,1011659,
05034743300764,1011661,
05034743300771,1011657,
5411681403656,1020685,
5011885003661,99484,
5011885003647,99483,
5010549105604,111152,
5010549303079,106097,
5000213026243,290022,
05000213027332,1020658,
5000213027738,289896,
5000196000551,247228,
5000196000636,217725,
5000213008874,103567,
5000213000120,419242,
5000213025277,275772,
05000213026847,1019780,
5000213026090,1020693,
5000213027127,282036,
5000213018958,661330,
5011348017099,278284,
5035766641155,144798,
5035766641117,281093,
0655729049429,1019868,
05060265860110,1016635,
05060265860196,1016631,
05060265860127,1016632,
05060265860134,1016634,
5011348002910,102290,
5010118317841,855213,
15060769400659,1019865,
5010549303963,125477,
5010549016542,286326,
5011348015811,186804,
5015759000725,146144,
15060652551291,1019826,
15060652550904,1019827,
5060031050240,148518,
5011348016238,204886,
0083783531176,1019861,
5012686001184,285587,
5028403155146,191566,
5028403154743,122587,
5060537090139,1020691,
5060537090153,1020690,
0793591058481,1020689,
5010153871858,278462,
5013414993047,1019860,
5060343552128,1021002,
5060343555662,1021004,
5057784039233,1020982,
5060343552746,1021003,
5060343550537,1021001,
5060343552234,1021005,
5050605100020,1020983,
5050837585213,1021006,
5028403155009,285063,
15060435601588,1020290,
15060435600307,1019786,
15060435600338,1019785,
15060435601502,1019793,
5011348015194,180357,
5010153872220,287529,
5010153872237,287534,
5010153872244,287533,
5016878010435,142279,
5010548002720,102783,
5010548005011,238658,
5010548002911,254123,
5010548001549,88288,
35060386621035,1019791,
15060386623509,1019790,
45060386621032,1019789,
15060386623530,1019908,
25060386623094,1019909,
5012686001214,285589,
5056025471405,285169,
5024583000016,100046,
5010017081799,270737,
05056025465633,1019928,
5060154912234,1011159,
05056025426115,1019831,
05060154918380,1011160,
05056025456976,1019835,
5056025434516,265935,
05056025455924,1019833,
05056025409385,1011841,
05056025455627,1020549,
5056025421363,1014686,
05056025453845,1019839,
5056025440494,261634,
5056025440487,261632,
05056025461475,1019927,
05056025440098,1019836,
5060228270628,267043,
5060228270932,265954,
5011166018896,100125,
5060435602595,1019998,
5412186000661,1020695,
05034743300757,1011659,
05034743300764,1011661,
05034743300771,1011657,
5411681403656,1020685,
5011885003661,99484,
5011885003647,99483,
5010549105604,111152,
5010549303079,106097,
5000213026243,290022,
05000213027332,1020658,
5000213027738,289896,
5000196000551,247228,
5000196000636,217725,
5000213008874,103567,
5000213000120,419242,
5000213025277,275772,
05000213026847,1019780,
5000213026090,1020693,
5000213027127,282036,
5000213018958,661330,
5011348017099,278284,
5035766641155,144798,
5035766641117,281093,
0655729049429,1019868,
05060265860110,1016635,
05060265860196,1016631,
05060265860127,1016632,
05060265860134,1016634,
5011348002910,102290,
5010118317841,855213,
15060769400659,1019865,
5010549303963,125477,
5010549016542,286326,
5011348015811,186804,
5015759000725,146144,
15060652551291,1019826,
15060652550904,1019827,
5060031050240,148518,
5011348016238,204886,
0083783531176,1019861,
5012686001184,285587,
5028403155146,191566,
5028403154743,122587,
5060537090139,1020691,
5060537090153,1020690,
0793591058481,1020689,
5010153871858,278462,
5013414993047,1019860,
5060343552128,1021002,
5060343555662,1021004,
5057784039233,1020982,
5060343552746,1021003,
5060343550537,1021001,
5060343552234,1021005,
5050605100020,1020983,
5050837585213,1021006,
5028403155009,285063,
15060435601588,1020290,
15060435600307,1019786,
15060435600338,1019785,
15060435601502,1019793,
5011348015194,180357,
5010153872220,287529,
5010153872237,287534,
5010153872244,287533,
5012845172847,109838,
5012845750007,245767,
5020379130622,120593,
5012136321060,289756,
5020379177382,289258,
5391520443749,286846,
5027342005390,283882,
5027342005567,288139,
5027342001316,83898,
5035766047223,216108,
5035766047155,216106,
5027342003471,286927,
5012136013491,286902,
5012136008503,85465,
5012136001306,59935,
5012136012593,246183,
5012136002709,49192,
5014201701715,270006,
5032535000755,116165,
5060014570024,90022,
5014201800999,99965,
5035766051596,289197,
5035766050001,267178,
5035766050056,283025,
5391520443480,274742,
7393714897961,289727,
7393714899095,285805,
7393714517906,175113,
7393714526007,69827,
7393714367747,235253,
7393714515902,83358,
7393714367921,163992,
7393714367938,131914,
7393714367846,235252,
7393714515506,108081,
7393714518903,238194,
7393714898364,289752,
7393714896827,285949,
7393714897060,285948,
7393714899361,268777,
5391516873093,277893,
5391516877152,286913,
5391516877138,286786,
5391516870016,99285,
5035766044635,178098,
5035766044611,178092,
5035766048770,246904,
5411718912809,288157,
5035766050452,277354,
5014201701586,244785,
5020379177429,289599,
5020379173902,283068,
5020379173926,283243,
5020379177467,289602,
7311100326406,112369,
7311100328004,112368,
5035766040149,274728,
5014201800654,110662,
5014201702255,284283,
5035766049098,280944,
5035766048800,268709,
5035766044086,160021,
5035766051114,285719,
5035766050490,277352,
5035766049395,257137,
5035766049487,257245,
5035766049623,257132,
5035766051107,285712,
5035766051084,285678,
5035766049500,256747,
5035766051275,285522,
5035766051008,288156,
5020628002618,276072,
5020628002403,276049,
5020628001895,257086,
5020628000775,284862,
5020628003196,285769,
5020628001178,110942,
5020628000317,238628,
5020628002809,94472,
5020628003226,287525,
5014201701777,286462,
5012845172847,109838,
