code,sub_cat_name,sub_cat_code
247173,Bitters and Ales,CS13_200010
247147,Bitters and Ales,CS13_200010
122587,Bitters and Ales,CS13_200010
789263,Bitters and Ales,CS13_200010
110714,Bitters and Ales,CS13_200010
179449,Bitters and Ales,CS13_200010
203296,Bitters and Ales,CS13_200010
232782,Bitters and Ales,CS13_200010
99285,Cider,CS13_200020
108081,Cider,CS13_200020
83358,Cider,CS13_200020
257132,Cider,CS13_200020
197908,Cider,CS13_200020
101187,Cider,CS13_200020
109838,Cider,CS13_200020
143373,Cider,CS13_200020
216108,Cider,CS13_200020
216106,Cider,CS13_200020
99965,Cider,CS13_200020
238194,Cider,CS13_200020
175113,Cider,CS13_200020
69827,Cider,CS13_200020
176178,Cider,CS13_200020
178098,Cider,CS13_200020
178092,Cider,CS13_200020
194447,Cider,CS13_200020
112369,Cider,CS13_200020
112368,Cider,CS13_200020
110942,Cider,CS13_200020
94472,Cider,CS13_200020
99327,Cider,CS13_200020
259883,Cider,CS13_200020
100333,Cider,CS13_200020
49192,Cider,CS13_200020
120593,Cider,CS13_200020
197952,Cider,CS13_200020
144387,Cider,CS13_200020
247193,Cider,CS13_200020
248588,Cider,CS13_200020
235916,Cider,CS13_200020
85465,Cider,CS13_200020
120312,Cider,CS13_200020
59935,Cider,CS13_200020
246183,Cider,CS13_200020
116165,Cider,CS13_200020
90022,Cider,CS13_200020
226767,Cider,CS13_200020
235253,Cider,CS13_200020
262799,Cider,CS13_200020
163992,Cider,CS13_200020
248589,Cider,CS13_200020
131914,Cider,CS13_200020
235252,Cider,CS13_200020
250244,Cider,CS13_200020
249875,Cider,CS13_200020
249368,Cider,CS13_200020
259756,Cider,CS13_200020
247226,Cider,CS13_200020
241519,Cider,CS13_200020
244785,Cider,CS13_200020
246176,Cider,CS13_200020
246174,Cider,CS13_200020
246177,Cider,CS13_200020
117083,Cider,CS13_200020
117082,Cider,CS13_200020
192034,Cider,CS13_200020
110662,Cider,CS13_200020
246224,Cider,CS13_200020
249376,Cider,CS13_200020
160021,Cider,CS13_200020
233277,Cider,CS13_200020
247553,Cider,CS13_200020
