additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_code,cat_name,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_code,sub_cat_name,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,,189752,,,,,,/bbimages/1/6a17e8f0-01c9-40c2-8e9e-9eac1707227d.jpg,,,Black Forest Gateau,,,,,,,,,,,,,14ptn,,,,Frozen,CS13_200460,,,,0%,,,"Case of,10",£59.89,
,,,,,,,,,,,90789,,,,,,/graphics/ni/ni90.jpg,,,Big Als F/Cooked Qtr Pounder,,,,,,,,,,,,,24s,,,,Frozen,CS13_200450,,,,0%,,,"Case of,2",£29.98,
,,,,,,,,,,,753673,,,,,,/graphics/ni/ni90.jpg,,,Lamb Hind Shank 400-600g,,,,,,,,,,,,,20kg,,,,Frozen,CS13_200530,,,,0%,,,,£8.99/Kg,
,,,,,,,,,,,189754,,,,,,/bbimages/1/6a17e8f0-01c9-40c2-8e9e-9eac1707227d.jpg,,,Black Forest Gateau,,,,,,,,,,,,,14ptn,,,,Frozen,CS13_200460,,,,0%,,,,£5.99,
,,,,,,,,,,,79339,,,,,,/graphics/ni/ni90.jpg,,,Big Als F/Cooked Qtr Pounder,,,,,,,,,,,,,24s,,,,Frozen,CS13_200450,,,,0%,,,,£14.99,
,,,,,,,,,,,50569,,,,,,/bbimages/1/dbb3846b-4389-4877-8f6a-bc95f612fb8c.jpg,,,New Zealand Lamb Liver,,,,,,,,,,,,,4.54kg,,,,Frozen,CS13_200530,,,,0%,,,"Case of,6",£53.94,
,,,,,,,,,,,63074,,,,,,/bbimages/1/080d28a7-d190-4c13-a54e-6baba14c35a9.jpg,,,Actimel Strawberry Yogurt Drink 8 x 100g (800g),,,,,,,,29.2%,,,,£3.29,8x100g,,,,Chilled,CS13_200430,,,,0%,,,"Case of,3",£6.99,
,,,,,,,,,,,247076,,,,,,/bbimages/1/cd1fc6f3-721d-45d8-9cd6-74935e157f28.jpg,,,Chef's Larder 40 Buffet Savoury Eggs 720g,,,,,,,,,,,,,2x20pk,,,,Frozen,CS13_200510,,,,0%,,,,£6.49,
,,,,,,,,,,,122826,,,,,,/bbimages/1/401ba402-4022-40ee-9b16-8b70c830dc21.jpg,,,Brioche Pasquier 10 Apple Tart 750g,,,,,,,,,,,,,10Ptn,,,,Frozen,CS13_200460,,,,0%,,,"Case of,10",£44.89,
,,,,,,,,,,,122827,,,,,,/bbimages/1/401ba402-4022-40ee-9b16-8b70c830dc21.jpg,,,Brioche Pasquier 10 Apple Tart 750g,,,,,,,,,,,,,10Ptn,,,,Frozen,CS13_200460,,,,0%,,,,£4.49,
,,,,,,,,,,,122822,,,,,,/bbimages/1/e53d1b28-272f-4212-a0c9-93a420d89fce.jpg,,,Brioche Pasquier 10 Apple Tartlets 1200g,,,,,,,,,,,,,10s,,,,Frozen,CS13_200460,,,,0%,,,"Case of,4",£41.95,
,,,,,,,,,,,481374,,,,,,/bbimages/1/2fdffeae-013e-4bbc-92bd-c3f3e73b61af.jpg,,,Blakeman Sausages 4s 4.54kg,,,,,,,,,,,,,4.54kg,,,,Frozen,CS13_200450,,,,0%,,,,£10.99,
,,,,,,,,,,,50568,,,,,,/bbimages/1/dbb3846b-4389-4877-8f6a-bc95f612fb8c.jpg,,,New Zealand Lamb Liver,,,,,,,,,,,,,4.54kg,,,,Frozen,CS13_200530,,,,0%,,,,£8.99,
,,,,,,,,,,,63075,,,,,,/bbimages/1/080d28a7-d190-4c13-a54e-6baba14c35a9.jpg,,,Actimel Strawberry Yogurt Drink 8 x 100g (800g),,,,,,,,27.4%,,,,£3.29,8x100g,,,,Chilled,CS13_200430,,,,0%,,,,£2.39,
,,,,,,,,,,,172982,,,,,,/bbimages/1/65ec592b-d36a-436d-86e0-3539caa4be09.jpg,,,Mr Brain's 6 Pork Faggots in a West Country Sauce 656g,,,,,,,,23.7%,,,,£1.95,655g,,,,Frozen,CS13_200510,,,,0%,,,"Case of,12",£17.85,
,,,,,,,,,,,122823,,,,,,/bbimages/1/e53d1b28-272f-4212-a0c9-93a420d89fce.jpg,,,Brioche Pasquier 10 Apple Tartlets 1200g,,,,,,,,,,,,,10s,,,,Frozen,CS13_200460,,,,0%,,,,£10.49,
,,,,,,,,,,,481416,,,,,,/bbimages/1/31d092e0-442d-4a3e-9728-f5fbfdaa5053.jpg,,,Blakeman Sausages 8s 4.54kg,,,,,,,,,,,,,4.536kg,,,,Frozen,CS13_200450,,,,0%,,,,£10.49,
,,,,,,,,,,,753541,,,,,,/graphics/ni/ni90.jpg,,,NZ Mutton Legs B/L,,,,,,,,,,,,,21.3kg,,,,Frozen,CS13_200530,,,,0%,,,,£7.49/Kg,
,,,,,,,,,,,172983,,,,,,/bbimages/1/65ec592b-d36a-436d-86e0-3539caa4be09.jpg,,,Mr Brain's 6 Pork Faggots in a West Country Sauce 656g,,,,,,,,23.6%,,,,£1.95,655g,,,,Frozen,CS13_200510,,,,0%,,,,£1.49,
,,,,,,,,,,,122818,,,,,,/bbimages/1/b1fd1e58-330a-4c0b-b76a-3aca4c9584d7.jpg,,,Brioche Pasquier 10 Chocolate Tartlets 800g,,,,,,,,,,,,,10s,,,,Frozen,CS13_200460,,,,0%,,,"Case of,4",£41.95,
,,,,,,,,,,,82091,,,,,,/bbimages/1/4aeac936-0c4b-4de8-a922-a8c85f978024.jpg,,,Blakemans Quick Frozen Cooked Pork Cocktail Sausage (Approximately 50 sausages per pack),,,,,,,,,,,,,1kg,,,,Frozen,CS13_200450,,,,0%,,,"Case of,10",£59.90,
,,,,,,,,,,,242987,,,,,,/bbimages/1/4c103c7c-9c16-425e-8b9f-bc0ee3e85fd6.jpg,,,Happy Shopper Sliced Lamb Liver 350g,,,,,,,,,,,,,350g,,,,Frozen,CS13_200530,,,,0%,,,"Case of,8",£11.19,
,,,,,,,,,,,130957,,,,,,/graphics/ni/ni90.jpg,,,Supertops Sliced Pepperoni,,,,,,,,,,,,,1kg,,,,Frozen,CS13_200510,,,,0%,,,"Case of,12",£89.85,
,,,,,,,,,,,122819,,,,,,/bbimages/1/b1fd1e58-330a-4c0b-b76a-3aca4c9584d7.jpg,,,Brioche Pasquier 10 Chocolate Tartlets 800g,,,,,,,,,,,,,10s,,,,Frozen,CS13_200460,,,,0%,,,,£10.49,
,,,,,,,,,,,81791,,,,,,/bbimages/1/4aeac936-0c4b-4de8-a922-a8c85f978024.jpg,,,Blakemans Quick Frozen Cooked Pork Cocktail Sausage (Approximately 50 sausages per pack),,,,,,,,,,,,,1kg,,,,Frozen,CS13_200450,,,,0%,,,,£5.99,
